URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://hl7.no/fhir/vkpobservation/ValueSet/NoDomainVitalSignsBloodPressureMeasurementMethodValueSet,0.4.1,draft,,NoDomainVitalSignsBloodPressureMeasurementMethodValueSet,NoDomainVitalSignsBloodPressureMeasurementMethod-ValueSet,"Codes representing measurement method for HeartRate","StructureDefinition/vkp-Observation-Bloodpressure","SCT"
http://hl7.no/fhir/vkpobservation/ValueSet/NoDomainVitalSignsBloodpressureBodySiteValueSet,0.4.1,draft,,NoDomainVitalSignsBloodpressureBodySiteValueSet,NoDomainVitalSignsBloodpressureBodySite-ValueSet,"Codes representing body site for blood pressure","StructureDefinition/vkp-Observation-Bloodpressure","SCT"
http://hl7.no/fhir/vkpobservation/ValueSet/pmd-bundle-requests.valueset,0.4.1,draft,,PmdBundleRequests,Bundle request types,"Bundle Request types","StructureDefinition/pmd-Bundle-Observation","FHIR"
http://hl7.no/fhir/vkpobservation/ValueSet/vkp-performer-identifiers.valueset,0.4.1,draft,,VkpPerformerIdentifiersValueSet,VKP Performer Identifier systems ValueSet,"Identifier Systems allowed for performer identification systems in Vkp Observations","StructureDefinition/vkp-Observation-Bloodpressure,StructureDefinition/vkp-Observation-Resprate,StructureDefinition/vkp-Observation,StructureDefinition/vkp-Observation-Consciousness,StructureDefinition/vkp-Observation-Bodytemp,StructureDefinition/vkp-Observation-Heartrate,StructureDefinition/vkp-Observation-Bodyweight,StructureDefinition/vkp-Observation-Oxygensat","Internal"
http://hl7.no/fhir/vkpobservation/ValueSet/vkp-performer-organization-identifiers.valueset,0.4.1,draft,,VkpPerformerOrganizationIdentifiersValueSet,VKP Performer Identifier for organizations ValueSet,"Identifier Systems allowed for performer identification systems in Vkp Observations for organizations","StructureDefinition/vkp-Observation","Internal"
http://hl7.no/fhir/vkpobservation/ValueSet/vkp-performer-reference-types.valueset,0.4.1,draft,,VkpPerformerReferenceTypesValueSet,Vkp Performer reference types Systems ValueSet,"The Valueset contains all codes allowed for Observation.performer.type for use with VKP","StructureDefinition/vkp-Observation-CFSscore","hl7.fhir.r4.core"
http://hl7.no/fhir/vkpobservation/ValueSet/vkp-subject-identifiers.valueset,0.4.1,draft,,VkpSubjectIdentifiersValueSet,VKP Subject Identifier systems ValueSet,"Identifier Systems allowed for subject identifications","StructureDefinition/vkp-Observation-Bloodpressure,StructureDefinition/vkp-Observation-Resprate,StructureDefinition/vkp-Observation,StructureDefinition/vkp-Observation-Consciousness,StructureDefinition/vkp-Observation-Bodytemp,StructureDefinition/vkp-Observation-Heartrate,StructureDefinition/vkp-Observation-Bodyweight,StructureDefinition/vkp-Observation-Oxygensat","Internal"
